year,country,party,votes
1985,Aruba,MEP,13786
1985,Aruba,AVP,11480
1985,Aruba,PPA,4499
1985,Aruba,PDA,3661
1985,Aruba,ADN,3216
1989,Aruba,MEP,16555
1989,Aruba,AVP,12668
1989,Aruba,ADN,2298
1989,Aruba,PPN,1874
1989,Aruba,PPA,1772
1989,Aruba,PDA,694
1989,Aruba,AD86,171
1993,Aruba,AVP,15621
1993,Aruba,MEP,14907
1993,Aruba,OLA,3056
1993,Aruba,ADN,2314
1993,Aruba,PPA,2094
1993,Aruba,PPN,1075
1993,Aruba,PDA,403
1993,Aruba,Corona,397
1994,Aruba,AVP,17963
1994,Aruba,MEP,15437
1994,Aruba,OLA,4415
1994,Aruba,PPA,1751
1997,Aruba,AVP,19476
1997,Aruba,MEP,17358
1997,Aruba,OLA,3976
1997,Aruba,PPA,2052
1997,Aruba,ADN,1092
1997,Aruba,PARA,519
1997,Aruba,MAS,268
2001,Aruba,MEP,25172
2001,Aruba,AVP,12749
2001,Aruba,PPA,4598
2001,Aruba,OLA,2713
2001,Aruba,ADA,1666
2001,Aruba,CLA,540
2001,Aruba,ADN,531
2005,Aruba,MEP,22002
2005,Aruba,AVP,16725
2005,Aruba,MPA,3661
2005,Aruba,RED,3330
2005,Aruba,PDR,2414
2005,Aruba,OLA,1725
2005,Aruba,PPA,1092
2005,Aruba,MSA,237
2005,Aruba,PPT,131
2009,Aruba,AVP,26476
2009,Aruba,MEP,19804
2009,Aruba,PDR,3144
2009,Aruba,MPA,2444
2009,Aruba,RED,2378
2009,Aruba,PPA,611
2009,Aruba,CURPA,139
2009,Aruba,OLA/MSI,125
2013,Aruba,PPA,506
2013,Aruba,AVP,33103
2013,Aruba,PDR,4518
2013,Aruba,UPP,805
2013,Aruba,MEP,17653
2013,Aruba,RED,1209
2017,Aruba,RAIZ,2107
2017,Aruba,UPP,656
2017,Aruba,MEP,22061
2017,Aruba,CURPA,468
2017,Aruba,POR,5531
2017,Aruba,MAS,287
2017,Aruba,RED,4166
2017,Aruba,AVP,23376
2021,Aruba,A21,3410
2021,Aruba,PPA,1809
2021,Aruba,MAS,4681
2021,Aruba,UPP,621
2021,Aruba,MEP,20700
2021,Aruba,HTC,249
2021,Aruba,POR,661
2021,Aruba,AVP,18335
2021,Aruba,PP,574
2021,Aruba,CURPA,312
2021,Aruba,RAIZ,5474
2021,Aruba,RED,1784
2024,Aruba,MAS,1722
2024,Aruba,PPA,3538
2024,Aruba,RAIZ,2323
2024,Aruba,HTC,505
2024,Aruba,CURPA,423
2024,Aruba,FUTURO,7349
2024,Aruba,LPR,1349
2024,Aruba,RED,635
2024,Aruba,A21,2204
2024,Aruba,MEP,17572
2024,Aruba,AVP,17876
2010,Curacao,PAR,22474
2010,Curacao,MFK,15953
2010,Curacao,PS,13886
2010,Curacao,MAN,6531
2010,Curacao,FOL,4813
2010,Curacao,PNP,4588
2010,Curacao,DP,3048
2010,Curacao,PAIS,2202
2010,Curacao,PCTP,509
2010,Curacao,LNPA,336
2012,Curacao,PS,19715
2012,Curacao,MFK,18450
2012,Curacao,PAR,17179
2012,Curacao,PAIS,15286
2012,Curacao,MAN,8294
2012,Curacao,PNP,5130
2012,Curacao,FOL,1790
